_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
oTkbdCgvWKvaCqQb7,,2021-06-29T15:19:38Z,2021-06-29T15:19:38Z,1,ExitSurvey,2021-06-29T15:52:36Z,finished,,,,2021-06-29T15:14:41Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.032500000000001,white_11,24010,"white_8,white_7,white_11,white_10,white_2,white_1",0.045,3,30,,
hn6WWuh6fDeCKfJPz,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:14:44Z,,,,,,,,,,,,
YEiw6MqCWovNFp4Bq,,2021-06-29T15:18:40Z,2021-06-29T15:18:40Z,1,ExitSurvey,2021-06-29T15:42:49Z,finished,,,,2021-06-29T15:14:46Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.6755000000000007,purple_10,39514,"purple_4,purple_11,purple_1,purple_3,purple_7,purple_10",0.03,2,20,,
dGZRCmnE7qCJsuwYP,,2021-06-29T15:22:01Z,,,ExitSurvey,2021-06-29T16:35:20Z,finished,,,,2021-06-29T15:14:51Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.3415000000000004,yellow_10,69136,"yellow_5,yellow_10,yellow_12,yellow_11,yellow_2,yellow_3",0.036,3,24,,
ok3MeKEaWhdx8wuu8,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:14:51Z,,,,,,,,,,,,
HeXYRpJ7znQZ6BP6v,,2021-06-29T15:20:35Z,2021-06-29T15:20:35Z,1,ExitSurvey,2021-06-29T15:43:47Z,finished,,,,2021-06-29T15:14:54Z,Repi,/avatars/jdenticon/Samuel,#8138A8,2.1360000000000015,white_7,13115,"white_4,white_9,white_1,white_6,white_7,white_11",0.0495,3,33,,
kdsKqKyWdXwmeE6WR,,2021-06-29T15:20:36Z,2021-06-29T15:20:36Z,1,ExitSurvey,2021-06-29T15:43:47Z,finished,,,,2021-06-29T15:15:08Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.1210000000000013,white_7,13967,"white_11,white_4,white_9,white_7,white_6,white_1",0.0495,3,33,,
tCeuNLPHtpWrzutp9,,2021-06-29T15:21:10Z,2021-06-29T15:21:10Z,1,ExitSurvey,2021-06-29T15:47:02Z,finished,,,,2021-06-29T15:15:12Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.1735000000000007,purple_10,35674,"purple_12,purple_10,purple_1,purple_11,purple_8,purple_7",0.045,3,30,,
5SHesZ448NYq7uwhG,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:15:14Z,,,,,,,,,,,,
rSdBjHwfmWwz3Zwxq,,2021-06-29T15:22:07Z,,,ExitSurvey,2021-06-29T16:35:20Z,finished,,,,2021-06-29T15:15:45Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.3535000000000004,yellow_10,34796,"yellow_10,yellow_5,yellow_3,yellow_11,yellow_12,yellow_2",0.036,3,24,,
Sa4yM9TwAPpPZLfph,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:15:48Z,,,,,,,,,,,,
5rd4auhHb3DNW9HyL,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:16:58Z,,,,,,,,,,,,
W5Rugu8ZJ3ezTAgvy,,2021-06-29T15:22:13Z,,,ExitSurvey,2021-06-29T16:35:20Z,finished,,,,2021-06-29T15:17:01Z,Repi,/avatars/jdenticon/Samuel,#8138A8,2.3535000000000004,yellow_10,38954,"yellow_12,yellow_10,yellow_11,yellow_3,yellow_2,yellow_5",0.036,3,24,,
G7rpanrpf48PW8KaF,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:17:40Z,,,,,,,,,,,,
XKvTn46Ghq5eQhE7a,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:18:47Z,,,,,,,,,,,,
n7pvM9uSdjnPyAmam,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:19:22Z,,,,,,,,,,,,
